,,
,id,カテゴリ名
,id,name
,1,日本テレビ系列
,2,TBS系列
,3,フジテレビ系列
,4,朝日テレビ系列
,5,テレビ東京系列
,6,TOKYOMX / その他独立局
,7,VOD独占配信 / PPV
