,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください

※キャスト名の欄がピンク色にハイライトされた場合、どこかの行とキャスト名が重複しているため、新たにIDを割り当てずに既存のIDを利用してください","命名ルール：cast_image_{id}.png
※ sFTPでのS3へのアップロード

セルには{フォルダ}/{フォルダ}/{フォルダ}/{ファイル名}のように記載
※コンテンツ素材の前は、public/としてください",芸人さんはコンビ名、アイドルはグループ名を入力用_所属グループマスタのIDで指定。,,ID指定（声優、俳優、監督、スタッフなどをマスタ管理）
,id,キャスト名,キャスト画像,所属グループ,ジャンル,役割
,id,name,image,group,,
,155,乃村 健次,,,anime,声優
,156,宮城 一貴,,,anime,声優
,157,高垣 彩陽,,,anime,声優
,158,鈴木 愛奈,,,anime,声優
,159,潘 めぐみ,,,anime,声優
,160,ゆかな,,,anime,声優
,161,豊崎 愛生,,,anime,声優
,162,田村 睦心,,,anime,声優
,163,麦穂 あんな,,,anime,声優
,164,平野 文,,,anime,声優
,165,三宅 健太,,,anime,声優
,166,鳥海 浩輔,,,anime,声優
,167,てらそま まさき,,,anime,声優
,168,杉田 智和,,,anime,声優
,169,安元 洋貴,,,anime,声優
,170,井上 麻里奈,,,anime,声優
,171,森田 成一,,,anime,声優
,172,福山 潤,,,anime,声優
,173,赤城 進,,,anime,声優
,174,伊藤 健太郎,,,anime,声優
,175,永峰 遙,,,anime,声優
,176,佐久間 元輝,,,anime,声優
,177,小西 克幸,,,anime,声優
,178,蓮 岳大,,,anime,声優
,179,石井 康嗣,,,anime,声優
,180,大河 元気,,,anime,声優
,181,星野 佑典,,,anime,声優
,182,こばたけ まさふみ,,,anime,声優
,183,永瀬 アンナ,,,anime,声優
,184,佐々木 望,,,anime,声優
,185,斉藤 次郎,,,anime,声優
,186,野津山 幸宏,,,anime,声優
,187,山口 勝平,,,anime,声優
,188,竹内 良太,,,anime,声優
,189,葉山 翔太,,,anime,声優
,190,鈴木 千尋,,,anime,声優
,191,太田 哲治,,,anime,声優
,192,神谷 浩史,,,anime,声優
,193,子安 武人,,,anime,声優
,194,小林 千晃,,,anime,声優
,195,川澄 綾子,,,anime,声優
,196,山下 大輝,,,anime,声優
,197,諏訪部 順一,,,anime,声優
,198,増田 俊樹,,,anime,声優
,199,森 なな子,,,anime,声優
,200,橘 龍丸,,,anime,声優
,201,松岡 禎丞,,,anime,声優
,202,長江 里加,,,anime,声優
,203,喜多村 英梨,,,anime,声優
,204,永井 真里子,,,anime,声優
,205,上坂 すみれ,,,anime,声優
,206,宮野 真守,,,anime,声優
,207,高木 渉,,,anime,声優
,208,花澤 香菜,,,anime,声優
,209,石上 静香,,,anime,声優
,210,水樹 奈々,,,anime,声優
,211,櫻井 孝宏,,,anime,声優
,212,古川 登志夫,,,anime,声優
,213,堀江 瞬,,,anime,声優
,214,小清水 亜美,,,anime,声優
,215,宮園 拓夢,,,anime,声優
,216,観世 智顕,,,anime,声優
,217,田中 正彦,,,anime,声優
,218,遠藤 さき,,,anime,声優
,219,真堂 圭,,,anime,声優
,220,美波 わかな,,,anime,声優
,221,斉藤 貴美子,,,anime,声優
,222,落合 福嗣,,,anime,声優
,223,岩崎 諒太,,,anime,声優
,224,福島 潤,,,anime,声優
,225,濱野 大輝,,,anime,声優
,226,高橋 良輔,,,anime,声優
,227,梅田 修一朗,,,anime,声優
,228,古谷 徹,,,anime,声優
,229,武虎,,,anime,声優
,230,三木 眞一郎,,,anime,声優
,231,前野 智昭,,,anime,声優
,232,大森 日雅,,,anime,声優
,233,久保田 未夢,,,anime,声優
,234,小見川 千明,,,anime,声優
,235,小坂井 祐莉絵,,,anime,声優
,236,佐々木 李子,,,anime,声優
,237,飯田 里穂,,,anime,声優
,238,原 奈津子,,,anime,声優
,239,荒浪 和沙,,,anime,声優
,240,寺田 御子,,,anime,声優
,241,山田 麻莉奈,,,anime,声優
,242,山下 七海,,,anime,声優
,243,朝ノ 瑠璃,,,anime,声優
,244,長谷川 玲奈,,,anime,声優
,245,村瀬 歩,,,anime,声優
,246,河西 健吾,,,anime,声優
,247,小林 親弘,,,anime,声優
,248,益山 武明,,,anime,声優
,249,水島 大宙,,,anime,声優
,250,村田 太志,,,anime,声優
,251,関 智一,,,anime,声優
,252,興津 和幸,,,anime,声優
,253,土師 孝也,,,anime,声優
,254,羊宮 妃那,,,anime,声優
,255,朝井 彩加,,,anime,声優
,256,佐藤 元,,,anime,声優
,257,田村 ゆかり,,,anime,声優
,258,井口 裕香,,,anime,声優
,259,石井 孝英,,,anime,声優
,260,山本 和臣,,,anime,声優
,261,白井 悠介,,,anime,声優
,262,古屋 亜南,,,anime,声優
,263,井上 雄貴,,,anime,声優
,264,斎藤 千和,,,anime,声優
,265,西村 知道,,,anime,声優
,266,水瀬 いのり,,,anime,声優
,267,置鮎 龍太郎,,,anime,声優
,268,浪川 大輔,,,anime,声優
,269,岩田 光央,,,anime,声優
,270,玄田 哲章,,,anime,声優
,271,野沢 雅子,,,anime,声優
,272,田中 真弓,,,anime,声優
,273,白石 晴香,,,anime,声優
,274,伊藤 静,,,anime,声優
,275,井上 ほの花,,,anime,声優
,276,茅野 愛衣,,,anime,声優
,277,中原 麻衣,,,anime,声優
,278,大塚 芳忠,,,anime,声優
,279,大地 葉,,,anime,声優
,280,芝崎 典子,,,anime,声優
,281,皆川 純子,,,anime,声優
,282,⽊内 秀信,,,anime,声優
,283,髙坂 篤志,,,anime,声優
,284,寺島 拓篤,,,anime,声優
,285,郷田 ほづみ,,,anime,声優
,286,長縄 まりあ,,,anime,声優
,287,西 凜太朗,,,anime,声優
,288,松田 颯水,,,anime,声優
,289,石田 彰,,,anime,声優
,290,中村 悠一,,,anime,声優
,291,宝亀 克寿,,,anime,声優
,292,飛田 展男,,,anime,声優
,293,佐藤 みゆ希,,,anime,声優
,294,園崎 未恵,,,anime,声優
,295,粕谷 大介,,,anime,声優
,296,青木 瑠璃子,,,anime,声優
,297,松山 鷹志,,,anime,声優
,298,咲野 俊介,,,anime,声優
,299,周防 パトラ,,,anime,声優
,300,梅村 美緒奈,,,anime,声優
,301,三浦 陽子,,,anime,声優
,302,定岡 小百合,,,anime,声優
,303,奥村 雪男,,,anime,声優
,304,中井 和哉,,,anime,声優
,305,遊佐 浩二,,,anime,声優
,306,えつむ,,,anime,声優
,307,小豆 戒斗,,,anime,声優
,308,梶 裕貴,,,anime,声優
,309,那々海 ゆあ,,,anime,声優
,310,桜瀬 尋,,,anime,声優
,311,岡松 仗,,,anime,声優
